date,equity,cash,deployed,positions_count
2026-05-08,0,0,0,0
2026-05-08,0,0,0,0
2026-05-08,0,0,0,0
2026-05-08,74408.0,74408.0,0.0,0
2026-05-09,75707.2,75707.2,0.0,0
2026-05-09,75707.2,75707.2,0.0,0
