symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,exit_reason
DEEPAKFERT,2022-01-17 00:00:00+05:30,2022-01-19 00:00:00+05:30,564.95,510.8,101,-5469.150000000003,
NBCC,2022-01-17 00:00:00+05:30,2022-01-24 00:00:00+05:30,35.07,30.07,851,-4255.0,
REDINGTON,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,170.55,152.8,413,-7330.75,
RAIN,2022-01-17 00:00:00+05:30,2022-01-24 00:00:00+05:30,248.4,215.25,134,-4442.1,
INDIACEM,2022-01-10 00:00:00+05:30,2022-01-24 00:00:00+05:30,250.1,212.5,286,-10753.599999999999,
SHARDACROP,2022-01-07 00:00:00+05:30,2022-01-25 00:00:00+05:30,350.45,525.35,53,9269.700000000003,
DEEPAKFERT,2022-01-19 00:00:00+05:30,2022-02-04 00:00:00+05:30,510.8,653.45,15,2139.7500000000005,
GREAVESCOT,2022-01-10 00:00:00+05:30,2022-02-09 00:00:00+05:30,209.4,193.65,506,-7969.5,
PRAJIND,2022-01-17 00:00:00+05:30,2022-02-14 00:00:00+05:30,427.15,349.85,96,-7420.799999999996,
DEEPAKFERT,2022-01-19 00:00:00+05:30,2022-02-14 00:00:00+05:30,510.8,533.6,48,1094.4000000000005,
SHARDACROP,2022-01-07 00:00:00+05:30,2022-02-18 00:00:00+05:30,350.45,561.05,290,61073.99999999999,
CCL,2022-01-07 00:00:00+05:30,2022-02-18 00:00:00+05:30,425.3,456.9,274,8658.39999999999,
AAVAS,2022-01-10 00:00:00+05:30,2022-02-21 00:00:00+05:30,2733.5,3017.2,18,5106.599999999997,
BALRAMCHIN,2022-01-10 00:00:00+05:30,2022-02-21 00:00:00+05:30,419.9,393.0,180,-4841.999999999996,
SPARC,2022-01-17 00:00:00+05:30,2022-02-22 00:00:00+05:30,321.0,282.2,118,-4578.4000000000015,
HSCL,2022-02-01 00:00:00+05:30,2022-02-22 00:00:00+05:30,56.8,53.35,864,-2980.7999999999965,
KARURVYSYA,2022-02-10 00:00:00+05:30,2022-02-22 00:00:00+05:30,46.15,40.25,1041,-6141.899999999999,
CHOLAFIN,2022-02-01 00:00:00+05:30,2022-03-15 00:00:00+05:30,653.95,685.8,63,2006.5499999999943,
CHENNPETRO,2022-03-21 00:00:00+05:30,2022-04-06 00:00:00+05:30,126.85,164.0,220,8173.000000000001,
SUNDRMFAST,2022-04-04 00:00:00+05:30,2022-04-11 00:00:00+05:30,906.05,856.0,27,-1351.3499999999988,RS replacement
BAJAJHLDNG,2022-04-11 00:00:00+05:30,2022-04-13 00:00:00+05:30,6150.4,5517.05,6,-3800.0999999999967,
RCF,2022-03-28 00:00:00+05:30,2022-04-18 00:00:00+05:30,81.15,108.2,143,3868.1499999999996,
TNPL,2022-03-21 00:00:00+05:30,2022-04-18 00:00:00+05:30,160.75,212.55,194,10049.200000000003,
PHOENIXLTD,2022-04-04 00:00:00+05:30,2022-04-21 00:00:00+05:30,539.0,506.9,57,-1829.7000000000012,RS replacement
VOLTAS,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,1288.7,1230.95,87,-5024.25,
TNPL,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,160.75,216.95,716,40239.19999999999,
CHENNPETRO,2022-03-21 00:00:00+05:30,2022-05-02 00:00:00+05:30,126.85,307.15,654,117916.19999999998,
YESBANK,2022-04-13 00:00:00+05:30,2022-05-06 00:00:00+05:30,14.55,13.2,2229,-3009.1500000000033,
JSWSTEEL,2022-03-28 00:00:00+05:30,2022-05-09 00:00:00+05:30,730.1,678.35,100,-5175.0,
THOMASCOOK,2022-04-04 00:00:00+05:30,2022-05-09 00:00:00+05:30,76.95,67.4,493,-4708.149999999999,
MHRIL,2022-03-28 00:00:00+05:30,2022-05-09 00:00:00+05:30,232.35,234.05,369,627.3000000000063,
UFLEX,2022-03-28 00:00:00+05:30,2022-05-09 00:00:00+05:30,595.65,611.05,146,2248.399999999997,
RCF,2022-03-28 00:00:00+05:30,2022-05-09 00:00:00+05:30,81.15,89.7,453,3873.1499999999987,
ADANIPORTS,2022-04-04 00:00:00+05:30,2022-05-10 00:00:00+05:30,818.55,769.1,58,-2868.099999999996,
CRISIL,2022-04-04 00:00:00+05:30,2022-05-16 00:00:00+05:30,3286.3,3673.3,14,5418.0,
MRPL,2022-04-21 00:00:00+05:30,2022-05-18 00:00:00+05:30,67.28,87.5,136,2749.92,
MRPL,2022-04-21 00:00:00+05:30,2022-06-02 00:00:00+05:30,67.28,80.45,505,6650.850000000001,
SIEMENS,2022-07-11 00:00:00+05:30,2022-08-22 00:00:00+05:30,2038.25,2190.65,85,12954.000000000007,
TIINDIA,2022-07-11 00:00:00+05:30,2022-08-22 00:00:00+05:30,2056.4,2112.35,47,2629.6499999999915,
HSCL,2022-07-11 00:00:00+05:30,2022-08-22 00:00:00+05:30,91.2,97.35,1102,6777.29999999999,
GALAXYSURF,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,3028.05,3249.6,31,6868.049999999992,
ITI,2022-07-18 00:00:00+05:30,2022-08-29 00:00:00+05:30,117.35,112.7,577,-2683.049999999995,
BRIGADE,2022-08-08 00:00:00+05:30,2022-08-29 00:00:00+05:30,519.15,497.5,98,-2121.699999999998,RS replacement
FEDERALBNK,2022-07-25 00:00:00+05:30,2022-09-05 00:00:00+05:30,107.35,123.55,1104,17884.800000000003,
RPOWER,2022-08-29 00:00:00+05:30,2022-09-05 00:00:00+05:30,16.3,23.3,769,5383.0,
NAVINFLUOR,2022-08-08 00:00:00+05:30,2022-09-05 00:00:00+05:30,4462.15,4252.15,14,-2940.0,RS replacement
BEML,2022-08-22 00:00:00+05:30,2022-09-08 00:00:00+05:30,915.9,768.6,83,-12225.899999999996,
KARURVYSYA,2022-08-01 00:00:00+05:30,2022-09-08 00:00:00+05:30,48.95,61.6,404,5110.599999999999,
YESBANK,2022-08-01 00:00:00+05:30,2022-09-12 00:00:00+05:30,15.25,17.55,4979,11451.700000000004,
KARURVYSYA,2022-08-01 00:00:00+05:30,2022-09-12 00:00:00+05:30,48.95,62.6,1209,16502.85,
RPOWER,2022-08-29 00:00:00+05:30,2022-09-15 00:00:00+05:30,16.3,18.1,3027,5448.600000000002,
SUNDRMFAST,2022-08-08 00:00:00+05:30,2022-09-19 00:00:00+05:30,827.55,883.8,41,2306.25,
GRINDWELL,2022-08-08 00:00:00+05:30,2022-09-19 00:00:00+05:30,1997.9,2196.8,20,3978.000000000002,
ITDC,2022-08-29 00:00:00+05:30,2022-09-26 00:00:00+05:30,392.2,350.7,167,-6930.5,
JSWENERGY,2022-09-05 00:00:00+05:30,2022-09-26 00:00:00+05:30,355.9,296.15,178,-10635.5,
VAKRANGEE,2022-09-12 00:00:00+05:30,2022-09-26 00:00:00+05:30,40.3,35.95,2140,-9308.999999999987,
CENTURYPLY,2022-08-22 00:00:00+05:30,2022-10-03 00:00:00+05:30,666.8,629.25,116,-4355.799999999995,
TATACHEM,2022-08-22 00:00:00+05:30,2022-10-03 00:00:00+05:30,1087.5,1093.7,64,396.8000000000029,
REDINGTON,2022-08-29 00:00:00+05:30,2022-10-10 00:00:00+05:30,149.05,140.95,400,-3240.000000000009,
INOXWIND,2022-09-05 00:00:00+05:30,2022-10-17 00:00:00+05:30,31.54,37.21,2229,12638.430000000004,
ALLCARGO,2022-09-09 00:00:00+05:30,2022-10-21 00:00:00+05:30,83.89,91.11,857,6187.539999999999,
HUDCO,2022-11-07 00:00:00+05:30,2022-11-23 00:00:00+05:30,42.0,50.85,1157,10239.450000000003,
ICRA,2022-10-17 00:00:00+05:30,2022-11-28 00:00:00+05:30,3982.35,4241.05,49,12676.300000000014,
PFC,2022-11-21 00:00:00+05:30,2022-12-08 00:00:00+05:30,100.05,115.65,432,6739.2000000000035,
BBTC,2022-12-05 00:00:00+05:30,2022-12-16 00:00:00+05:30,1036.1,966.2,130,-9086.999999999982,
HUDCO,2022-11-07 00:00:00+05:30,2022-12-19 00:00:00+05:30,42.0,57.9,3889,61835.09999999999,
IRB,2022-11-15 00:00:00+05:30,2022-12-20 00:00:00+05:30,12.8,15.92,2574,8030.879999999998,
ITDC,2022-11-28 00:00:00+05:30,2022-12-22 00:00:00+05:30,385.1,346.55,299,-11526.450000000003,
MOIL,2022-12-05 00:00:00+05:30,2022-12-23 00:00:00+05:30,166.0,152.7,464,-6171.200000000005,
IRB,2022-11-15 00:00:00+05:30,2022-12-27 00:00:00+05:30,12.8,14.78,7887,15616.25999999999,
PFC,2022-11-21 00:00:00+05:30,2023-01-02 00:00:00+05:30,100.05,119.75,1316,25925.200000000004,
DABUR,2022-12-05 00:00:00+05:30,2023-01-06 00:00:00+05:30,587.1,552.85,184,-6302.0,
BALMLAWRIE,2022-12-05 00:00:00+05:30,2023-01-16 00:00:00+05:30,115.65,117.05,937,1311.799999999992,
ECLERX,2023-02-16 00:00:00+05:30,2023-03-20 00:00:00+05:30,735.8,679.2,240,-13583.999999999978,
