date,symbol,rs_score,reason
2024-05-22 00:00:00+05:30,GLAXO,0.07,max positions
2024-05-23 00:00:00+05:30,GLAXO,0.14,max positions
2024-05-24 00:00:00+05:30,GLAXO,0.13,max positions
2024-05-27 00:00:00+05:30,VARROC,0.09,max positions
2024-05-27 00:00:00+05:30,VINATIORGA,0.05,max positions
2024-05-27 00:00:00+05:30,NESCO,-0.01,max positions
2024-05-28 00:00:00+05:30,NESCO,0.02,max positions
2024-05-28 00:00:00+05:30,VINATIORGA,0.02,max positions
2024-05-29 00:00:00+05:30,VINATIORGA,0.04,max positions
2024-05-30 00:00:00+05:30,VINATIORGA,0.05,max positions
2024-06-03 00:00:00+05:30,KNRCON,0.26,max positions
2024-06-03 00:00:00+05:30,SUNDRMFAST,0.1,max positions
2024-06-18 00:00:00+05:30,RPOWER,-0.11,max positions
2024-06-19 00:00:00+05:30,RPOWER,-0.15,max positions
2024-06-20 00:00:00+05:30,RPOWER,-0.14,max positions
2024-06-21 00:00:00+05:30,RPOWER,-0.1,max positions
2024-06-24 00:00:00+05:30,RKFORGE,0.23,max positions
2024-06-24 00:00:00+05:30,CERA,0.19,max positions
2024-06-24 00:00:00+05:30,UFLEX,0.1,max positions
2024-06-24 00:00:00+05:30,GHCL,0.05,max positions
2024-06-24 00:00:00+05:30,ICRA,0.04,max positions
2024-06-24 00:00:00+05:30,KAJARIACER,0.04,max positions
2024-06-24 00:00:00+05:30,RENUKA,0.03,max positions
2024-06-24 00:00:00+05:30,CANFINHOME,0.02,max positions
2024-06-24 00:00:00+05:30,VENKEYS,0,max positions
2024-06-25 00:00:00+05:30,RKFORGE,0.26,max positions
2024-06-25 00:00:00+05:30,CERA,0.18,max positions
2024-06-25 00:00:00+05:30,KAJARIACER,0.09,max positions
2024-06-25 00:00:00+05:30,UFLEX,0.08,max positions
2024-06-25 00:00:00+05:30,RENUKA,0.05,max positions
2024-06-25 00:00:00+05:30,CANFINHOME,0.04,max positions
2024-06-25 00:00:00+05:30,ICRA,0.02,max positions
2024-06-26 00:00:00+05:30,RKFORGE,0.24,max positions
2024-06-26 00:00:00+05:30,CERA,0.18,max positions
2024-06-26 00:00:00+05:30,KAJARIACER,0.08,max positions
2024-06-26 00:00:00+05:30,UFLEX,0.08,max positions
2024-06-26 00:00:00+05:30,CANFINHOME,0.07,max positions
2024-06-26 00:00:00+05:30,RENUKA,0.04,max positions
2024-06-26 00:00:00+05:30,GHCL,0.03,max positions
2024-06-26 00:00:00+05:30,ICRA,-0.01,max positions
2024-06-27 00:00:00+05:30,RKFORGE,0.15,max positions
2024-06-27 00:00:00+05:30,CERA,0.12,max positions
2024-06-27 00:00:00+05:30,UFLEX,0.09,max positions
2024-06-27 00:00:00+05:30,KAJARIACER,0.08,max positions
2024-06-27 00:00:00+05:30,CANFINHOME,0.07,max positions
2024-06-27 00:00:00+05:30,RENUKA,0.03,max positions
2024-06-27 00:00:00+05:30,ICRA,-0.03,max positions
2024-06-28 00:00:00+05:30,RKFORGE,0.12,max positions
2024-06-28 00:00:00+05:30,CERA,0.1,max positions
2024-06-28 00:00:00+05:30,CANFINHOME,0.09,max positions
2024-06-28 00:00:00+05:30,UFLEX,0.08,max positions
2024-06-28 00:00:00+05:30,KAJARIACER,0.04,max positions
2024-06-28 00:00:00+05:30,RENUKA,0.04,max positions
2024-06-28 00:00:00+05:30,GHCL,0.01,max positions
2024-06-28 00:00:00+05:30,ICRA,-0.03,max positions
2024-07-01 00:00:00+05:30,ORIENTCEM,0.48,max positions
2024-07-01 00:00:00+05:30,BBTC,0.25,max positions
2024-07-01 00:00:00+05:30,INDIACEM,0.16,max positions
