date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,126.05,126.8,125.75,126.0,6995084
2021-01-04 00:00:00+05:30,127.4,128.25,126.4,127.8,11669647
2021-01-05 00:00:00+05:30,127.3,127.3,125.1,125.8,12371842
2021-01-06 00:00:00+05:30,126.05,127.85,124.55,125.8,14133415
2021-01-07 00:00:00+05:30,127.05,128.0,126.15,127.05,17298525
2021-01-08 00:00:00+05:30,127.65,131.2,127.65,130.05,27964099
2021-01-11 00:00:00+05:30,130.8,133.15,130.6,131.95,24790683
2021-01-12 00:00:00+05:30,132.65,137.4,131.95,136.5,28433070
2021-01-13 00:00:00+05:30,138.25,138.5,133.6,135.7,21154236
2021-01-14 00:00:00+05:30,136.45,137.95,134.85,136.5,14755992
2021-01-15 00:00:00+05:30,136.65,137.45,132.5,133.35,10647008
2021-01-18 00:00:00+05:30,133.4,133.95,127.15,129.1,17085592
2021-01-19 00:00:00+05:30,131.1,132.1,130.0,130.4,8951075
2021-01-20 00:00:00+05:30,130.8,132.1,129.05,131.75,11820498
2021-01-21 00:00:00+05:30,132.15,132.3,127.1,127.9,10828875
2021-01-22 00:00:00+05:30,127.9,128.25,123.35,124.0,14810848
2021-01-25 00:00:00+05:30,125.6,126.15,121.8,122.7,10157077
2021-01-27 00:00:00+05:30,122.85,123.4,119.8,120.25,11638766
2021-01-28 00:00:00+05:30,119.15,120.95,119.0,119.35,11970139
2021-01-29 00:00:00+05:30,120.35,120.7,116.6,117.2,15268785
2021-02-01 00:00:00+05:30,117.65,120.8,117.2,120.1,12808349
2021-02-02 00:00:00+05:30,121.95,123.65,120.7,122.2,15485139
2021-02-03 00:00:00+05:30,122.2,128.45,122.2,127.8,25483402
2021-02-04 00:00:00+05:30,128.35,134.25,127.35,133.7,30751754
2021-02-05 00:00:00+05:30,134.15,134.3,129.75,131.1,19930467
2021-02-08 00:00:00+05:30,131.3,132.55,130.6,131.8,11810439
2021-02-09 00:00:00+05:30,131.75,133.55,129.1,129.65,8579689
2021-02-10 00:00:00+05:30,130.2,130.85,127.35,128.75,8709612
2021-02-11 00:00:00+05:30,128.75,129.9,126.6,127.7,14150298
2021-02-12 00:00:00+05:30,127.05,127.55,123.6,124.6,16453706
2021-02-15 00:00:00+05:30,125.2,125.55,122.85,123.1,10557047
2021-02-16 00:00:00+05:30,123.15,126.05,123.15,124.55,11735144
2021-02-17 00:00:00+05:30,124.1,126.4,123.7,125.85,8950258
2021-02-18 00:00:00+05:30,125.7,131.45,124.75,130.25,22069738
2021-02-19 00:00:00+05:30,130.25,133.3,127.8,129.65,22944780
2021-02-22 00:00:00+05:30,129.25,129.8,125.8,126.8,20401387
2021-02-23 00:00:00+05:30,128.1,129.0,126.8,127.45,19178437
2021-02-24 00:00:00+05:30,130.25,135.0,129.9,134.4,38775957
2021-02-25 00:00:00+05:30,136.75,146.8,135.65,145.3,85580477
2021-02-26 00:00:00+05:30,145.35,151.75,140.1,141.7,94115857
2021-03-01 00:00:00+05:30,144.8,146.25,143.05,143.7,22306110
2021-03-02 00:00:00+05:30,143.7,145.35,141.95,142.8,17565134
2021-03-03 00:00:00+05:30,144.3,146.45,143.15,144.2,17610904
2021-03-04 00:00:00+05:30,143.35,144.2,141.2,141.55,17162557
2021-03-05 00:00:00+05:30,141.5,142.15,139.35,140.65,17323282
2021-03-08 00:00:00+05:30,143.25,145.2,141.8,142.6,18727656
2021-03-09 00:00:00+05:30,144.25,144.25,138.25,141.2,14621175
2021-03-10 00:00:00+05:30,142.5,142.7,139.1,140.55,10788943
2021-03-12 00:00:00+05:30,141.5,142.45,138.7,140.1,14835735
2021-03-15 00:00:00+05:30,136.35,137.45,134.75,136.75,15784630
2021-03-16 00:00:00+05:30,136.85,137.8,134.6,135.65,11857531
2021-03-17 00:00:00+05:30,135.05,135.4,129.9,130.15,15554810
2021-03-18 00:00:00+05:30,131.75,131.95,126.8,127.6,14401450
2021-03-19 00:00:00+05:30,126.6,130.3,124.3,126.85,33294812
2021-03-22 00:00:00+05:30,128.1,128.1,125.95,126.3,11414253
2021-03-23 00:00:00+05:30,126.25,127.2,124.8,125.9,8887103
2021-03-24 00:00:00+05:30,124.65,125.8,122.9,123.15,10865477
2021-03-25 00:00:00+05:30,122.85,123.9,118.3,119.25,18629600
2021-03-26 00:00:00+05:30,120.2,121.4,119.8,120.65,9505615
