date,symbol,rs_score,reason
2023-05-11 00:00:00+05:30,SJVN,0.15,max positions (RS gap too small)
2023-05-11 00:00:00+05:30,MRF,0.06,max positions (RS gap too small)
2023-05-11 00:00:00+05:30,KAJARIACER,0.01,max positions (RS gap too small)
2023-05-11 00:00:00+05:30,NLCINDIA,0,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,HUDCO,0.17,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,GODREJPROP,0.17,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,STAR,0.17,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,IDFCFIRSTB,0.16,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,INDIGO,0.14,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,SJVN,0.1,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,KAJARIACER,0.07,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,MRF,0.06,max positions (RS gap too small)
2023-05-12 00:00:00+05:30,NLCINDIA,0.02,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,CEATLTD,0.15,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,GREAVESCOT,0.11,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,BIRLACORPN,0.09,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,ASIANPAINT,0.08,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,EICHERMOT,0.08,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,TNPL,0.07,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,PIDILITIND,0.06,max positions (RS gap too small)
2023-05-15 00:00:00+05:30,FINPIPE,0,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,TNPL,0.15,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,GREAVESCOT,0.11,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,BIRLACORPN,0.1,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,EICHERMOT,0.1,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,ASIANPAINT,0.08,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,FINPIPE,0.06,max positions (RS gap too small)
2023-05-16 00:00:00+05:30,PIDILITIND,0.05,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,TNPL,0.13,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,EICHERMOT,0.11,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,BIRLACORPN,0.09,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,FINPIPE,0.05,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,PIDILITIND,0.04,max positions (RS gap too small)
2023-05-17 00:00:00+05:30,ASIANPAINT,0.03,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,TNPL,0.15,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,BIRLACORPN,0.12,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,EICHERMOT,0.09,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,FINPIPE,0.07,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,PIDILITIND,0.06,max positions (RS gap too small)
2023-05-18 00:00:00+05:30,ASIANPAINT,0.05,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,TNPL,0.18,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,BIRLACORPN,0.09,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,FINPIPE,0.09,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,EICHERMOT,0.09,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,PIDILITIND,0.05,max positions (RS gap too small)
2023-05-19 00:00:00+05:30,ASIANPAINT,0.03,max positions (RS gap too small)
2023-05-22 00:00:00+05:30,ASTRAL,0.11,max positions (RS gap too small)
2023-05-22 00:00:00+05:30,BAJAJCON,0.11,max positions (RS gap too small)
2023-05-22 00:00:00+05:30,SHOPERSTOP,0.09,max positions (RS gap too small)
2023-05-22 00:00:00+05:30,JYOTHYLAB,0.07,max positions (RS gap too small)
2023-05-22 00:00:00+05:30,SBIN,-0.02,max positions (RS gap too small)
2023-05-23 00:00:00+05:30,ASTRAL,0.14,max positions (RS gap too small)
2023-05-23 00:00:00+05:30,SHOPERSTOP,0.11,max positions (RS gap too small)
2023-05-23 00:00:00+05:30,BAJAJCON,0.1,max positions (RS gap too small)
2023-05-23 00:00:00+05:30,JYOTHYLAB,0.06,max positions (RS gap too small)
2023-05-23 00:00:00+05:30,SBIN,-0.01,max positions (RS gap too small)
2023-05-24 00:00:00+05:30,ASTRAL,0.14,max positions (RS gap too small)
2023-05-24 00:00:00+05:30,SHOPERSTOP,0.12,max positions (RS gap too small)
2023-05-24 00:00:00+05:30,BAJAJCON,0.08,max positions (RS gap too small)
2023-05-24 00:00:00+05:30,JYOTHYLAB,0.07,max positions (RS gap too small)
2023-05-24 00:00:00+05:30,SBIN,-0.01,max positions (RS gap too small)
2023-05-25 00:00:00+05:30,ASTRAL,0.16,max positions (RS gap too small)
2023-05-25 00:00:00+05:30,SHOPERSTOP,0.11,max positions (RS gap too small)
2023-05-25 00:00:00+05:30,BAJAJCON,0.05,max positions (RS gap too small)
2023-05-25 00:00:00+05:30,JYOTHYLAB,0.03,max positions (RS gap too small)
2023-05-25 00:00:00+05:30,SBIN,-0.01,max positions (RS gap too small)
2023-05-26 00:00:00+05:30,ASTRAL,0.17,max positions (RS gap too small)
2023-05-26 00:00:00+05:30,SHOPERSTOP,0.1,max positions (RS gap too small)
2023-05-26 00:00:00+05:30,BAJAJCON,0.06,max positions (RS gap too small)
