sector, -   
FINANCIAL SERVICES, 16.57 
CONSUMER GOODS, 13.07 
INDUSTRIAL MANUFACTURING, 10.04 
SERVICES, 8.69 
AUTOMOBILE, 7.15 
PHARMA, 7.03 
CHEMICALS, 6.80 
CONSTRUCTION, 6.61 
ENERGY, 5.42 
METALS, 3.91 
CEMENT & CEMENT PRODUCTS, 3.83 
FERTILISERS & PESTICIDES, 3.71 
IT, 2.28 
TELECOM, 1.73 
TEXTILES, 1.30 
PAPER, 0.92 
MEDIA & ENTERTAINMENT, 0.92 
